DATA_MANAGE_NO,DATA_TITLE_NM,SUMRY_CN,SBJT_NM,MAIN_THUMB_URL,CNTNTS_URL,CTPRVN_NM,SIGNGU_NM,ADDR,FSTVL_PROGRM_NM,FSTVL_PROGRM_DC,REGIST_DE,CORE_KWRD_CN,SEXDSTN_CD,INTRST_REALM_NM,PGE_VIEWS_CO,VISIT_CO,OPN_DE
20231200110,세계 3대 마임축제 중 하나 '춘천마임축제',"춘천마임축제는 프랑스의 미모스 축제, 런던의 마임축제와 어깨를 나란히 하는 세계 3대 마임축제의 하나이다. 한 해에 12만명의 관람객이 다녀가고, 10여 개국의 마임 단체들이 참가하며, 공지천, 미군기지터, 극장 등 춘천 시내 곳곳에서 열리는 춘천의 대표 축제이다. 춘천마임축제는 예술 영역에 머물렀던 마임을 대중적인 마임으로 전환하기 위한 노력을 기울이고 있다.",춤·음악 축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/200/30254/17169/c/150_2019-춘천마임축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/240,강원특별자치도,춘천시,강원도 춘천시 효자동 531,걷다 보는 마임,춘천의 산책로를 무대로 만든다. 걷다가 공연보다가 다시 걷다가 드라이브스루 대신 워킹스루 형식으로 마임을 즐긴다.,20230101,"춘천, 마임, 축제, 미모스, 신체극, 광대극",F,스포츠 & 피트니스/스포츠 팬/야구 팬,33,11,20231230
20231200111,국내외 수준급 재즈를 라이브로 즐기는 '자라섬 재즈페스티벌',자라섬 국제재즈페스티벌은 국내에서 생소한 장르인 재즈(jazz)를 소재로 한 대한민국의 대표 음악축제이다. 자라섬은 1943년 국내 최초의 발전 전용 댐인 청평댐이 완공되면서 생긴 섬이다. 자라섬 국제재즈페스티벌은 ‘자연 속의 소풍 같은 축제’를 지향한다. 재즈 마니아 뿐 아니라 음악을 잘 모르는 사람들도 즐길 수 있도록 메인스트림 재즈 외에 보사노바ㆍ비밥ㆍ스윙ㆍ퓨전ㆍ일렉트릭ㆍ월드뮤직 등 다양한 장르별 재즈 뮤지션들의 공연이 다채롭게 펼쳐진다.,춤·음악 축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/65/30119/16049/c/018_2019-자라섬-국제재즈페스티벌-thumb.jpg,https://ncms.nculture.org/local-festival/story/238,경기도,가평군,경기 가평군 가평읍 달전리 28,재즈 스테이션,가평의 읍내에 위치한 음악역 1939 내의 뮤직홀에서 펼쳐지는 무료 공연으로 재즈 페스티벌을 멀리서 찾은 사람뿐만 아니라 가평 시민들도 공연을 쉽게 접할 수 있도록 했다.,20230101,"가평, 자라섬, 재즈, 페스티벌, 청평댐, 땅콩섬, 중국섬, 재즈막걸리",F,미디어 & 엔터테인먼트/TV 애호가,33,11,20231230
20231200112,가을의 절정에서 단풍을 즐기는 장성백양단풍축제,"장성백양단풍축제는 전라남도 장성에 있는 백암산과 백양사의 아름다운 가을 단풍을 선보이는 축제다. 1996년부터 개최되었고, 단풍이 절정에 이르는 시기를 택해 매년 10월 말 ~ 11월 초에 개최된다. 백암산은 내장산 국립공원에 속한다. 백양사는 백암산 동쪽에 있는 절로 백제 무왕 때 세워졌는데, 백양사라고 불린 이유는 조선 숙종 때 환양선사가 설법하던 도중 백양 한 마리가 내려와 설법을 듣고 신이 되어 하늘로 올라갔기 때문이라고 한다. 장성백양단풍축제는 가을의 절정에서 자연의 멋을 느낄 수 있는 축제이다.",자연축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/170/30224/17137/c/115_-2019-장성백양단풍축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/494,전라남도,장성군,전남 장성군 북이면 사거리 656-5,단풍숲 거리공연,"쌍계루, 일광정에서 통기타 공연부터 국악, 클래식, 팝페라, 버스킹, 포크 콘서트까지 다양한 장르의 공연이 열린다.",20230101,"백양사, 백암산, 단풍, 정토사",M,스포츠 & 피트니스/스포츠 팬/축구 팬,32,28,20231230
20231200113,우리나라의 대표적인 아리랑 '정선아리랑제',"정선은 아리랑의 대표적인 전승지이다. 정선아리랑제는 정선 아리랑의 문화적 가치를 전승하고자 1976년부터 시작되었다. 정선아리랑은 국내 아리랑 중 유일한 무형문화재이다. 정선에서는 이미 5천수 이상의 아리랑 가사가 채록되었고 지금도 끊임없이 창작, 전승되고 있다. 정선아리랑제에서는 어르신, 학생, 성인 등 다양한 사람들이 경창대회를 열고, 아리랑을 주제로한 인형극, 공연, 콘서트, 포럼이 열린다.",춤·음악 축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/73/30127/16061/c/026_2019정선아리랑제-thumb.jpg,https://ncms.nculture.org/local-festival/story/323,강원특별자치도,정선군,강원도 정선군 정선읍 봉양리 112,민속체험 &한복체험,정선의 대표문화인 짚풀공예와 삼찌기 시현을 보고 한복 대여 체험을 통해 축제를 더욱 재밌게 즐길 수 있다.,20230101,"정선, 아리랑, 아라리, 문화예술, 무형문화재, 소리문화",F,미디어 & 엔터테인먼트/게이머,32,24,20231230
20231200114,우리나라의 대표적인 아리랑 '정선아리랑제',"정선은 아리랑의 대표적인 전승지이다. 정선아리랑제는 정선 아리랑의 문화적 가치를 전승하고자 1976년부터 시작되었다. 정선아리랑은 국내 아리랑 중 유일한 무형문화재이다. 정선에서는 이미 5천수 이상의 아리랑 가사가 채록되었고 지금도 끊임없이 창작, 전승되고 있다. 정선아리랑제에서는 어르신, 학생, 성인 등 다양한 사람들이 경창대회를 열고, 아리랑을 주제로한 인형극, 공연, 콘서트, 포럼이 열린다.",춤·음악 축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/73/30127/16061/c/026_2019정선아리랑제-thumb.jpg,https://ncms.nculture.org/local-festival/story/323,강원특별자치도,정선군,강원도 정선군 정선읍 봉양리 112,민속체험 &한복체험,정선의 대표문화인 짚풀공예와 삼찌기 시현을 보고 한복 대여 체험을 통해 축제를 더욱 재밌게 즐길 수 있다.,20230101,"정선, 아리랑, 아라리, 문화예술, 무형문화재, 소리문화",M,미디어 & 엔터테인먼트/음악 애호가/팝 음악 팬,32,22,20231230
20231200115,우리나라의 대표적인 아리랑 '정선아리랑제',"정선은 아리랑의 대표적인 전승지이다. 정선아리랑제는 정선 아리랑의 문화적 가치를 전승하고자 1976년부터 시작되었다. 정선아리랑은 국내 아리랑 중 유일한 무형문화재이다. 정선에서는 이미 5천수 이상의 아리랑 가사가 채록되었고 지금도 끊임없이 창작, 전승되고 있다. 정선아리랑제에서는 어르신, 학생, 성인 등 다양한 사람들이 경창대회를 열고, 아리랑을 주제로한 인형극, 공연, 콘서트, 포럼이 열린다.",춤·음악 축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/73/30127/16061/c/026_2019정선아리랑제-thumb.jpg,https://ncms.nculture.org/local-festival/story/323,강원특별자치도,정선군,강원도 정선군 정선읍 봉양리 112,민속체험 &한복체험,정선의 대표문화인 짚풀공예와 삼찌기 시현을 보고 한복 대여 체험을 통해 축제를 더욱 재밌게 즐길 수 있다.,20230101,"정선, 아리랑, 아라리, 문화예술, 무형문화재, 소리문화",F,음식 & 다이닝/식도락가,32,21,20231230
20231200116,우리나라의 대표적인 아리랑 '정선아리랑제',"정선은 아리랑의 대표적인 전승지이다. 정선아리랑제는 정선 아리랑의 문화적 가치를 전승하고자 1976년부터 시작되었다. 정선아리랑은 국내 아리랑 중 유일한 무형문화재이다. 정선에서는 이미 5천수 이상의 아리랑 가사가 채록되었고 지금도 끊임없이 창작, 전승되고 있다. 정선아리랑제에서는 어르신, 학생, 성인 등 다양한 사람들이 경창대회를 열고, 아리랑을 주제로한 인형극, 공연, 콘서트, 포럼이 열린다.",춤·음악 축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/73/30127/16061/c/026_2019정선아리랑제-thumb.jpg,https://ncms.nculture.org/local-festival/story/323,강원특별자치도,정선군,강원도 정선군 정선읍 봉양리 112,민속체험 &한복체험,정선의 대표문화인 짚풀공예와 삼찌기 시현을 보고 한복 대여 체험을 통해 축제를 더욱 재밌게 즐길 수 있다.,20230101,"정선, 아리랑, 아라리, 문화예술, 무형문화재, 소리문화",M,스포츠 & 피트니스/스포츠 팬,32,13,20231230
20231200117,세계 3대 마임축제 중 하나 '춘천마임축제',"춘천마임축제는 프랑스의 미모스 축제, 런던의 마임축제와 어깨를 나란히 하는 세계 3대 마임축제의 하나이다. 한 해에 12만명의 관람객이 다녀가고, 10여 개국의 마임 단체들이 참가하며, 공지천, 미군기지터, 극장 등 춘천 시내 곳곳에서 열리는 춘천의 대표 축제이다. 춘천마임축제는 예술 영역에 머물렀던 마임을 대중적인 마임으로 전환하기 위한 노력을 기울이고 있다.",춤·음악 축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/200/30254/17169/c/150_2019-춘천마임축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/240,강원특별자치도,춘천시,강원도 춘천시 효자동 531,걷다 보는 마임,춘천의 산책로를 무대로 만든다. 걷다가 공연보다가 다시 걷다가 드라이브스루 대신 워킹스루 형식으로 마임을 즐긴다.,20230101,"춘천, 마임, 축제, 미모스, 신체극, 광대극",F,차량 및 운송/자동차 매니아,32,11,20231230
20231200118,국내외 수준급 재즈를 라이브로 즐기는 '자라섬 재즈페스티벌',자라섬 국제재즈페스티벌은 국내에서 생소한 장르인 재즈(jazz)를 소재로 한 대한민국의 대표 음악축제이다. 자라섬은 1943년 국내 최초의 발전 전용 댐인 청평댐이 완공되면서 생긴 섬이다. 자라섬 국제재즈페스티벌은 ‘자연 속의 소풍 같은 축제’를 지향한다. 재즈 마니아 뿐 아니라 음악을 잘 모르는 사람들도 즐길 수 있도록 메인스트림 재즈 외에 보사노바ㆍ비밥ㆍ스윙ㆍ퓨전ㆍ일렉트릭ㆍ월드뮤직 등 다양한 장르별 재즈 뮤지션들의 공연이 다채롭게 펼쳐진다.,춤·음악 축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/65/30119/16049/c/018_2019-자라섬-국제재즈페스티벌-thumb.jpg,https://ncms.nculture.org/local-festival/story/238,경기도,가평군,경기 가평군 가평읍 달전리 28,재즈 스테이션,가평의 읍내에 위치한 음악역 1939 내의 뮤직홀에서 펼쳐지는 무료 공연으로 재즈 페스티벌을 멀리서 찾은 사람뿐만 아니라 가평 시민들도 공연을 쉽게 접할 수 있도록 했다.,20230101,"가평, 자라섬, 재즈, 페스티벌, 청평댐, 땅콩섬, 중국섬, 재즈막걸리",F,미디어 & 엔터테인먼트/음악 애호가/팝 음악 팬,32,10,20231230
20231200119,가을의 절정에서 단풍을 즐기는 장성백양단풍축제,"장성백양단풍축제는 전라남도 장성에 있는 백암산과 백양사의 아름다운 가을 단풍을 선보이는 축제다. 1996년부터 개최되었고, 단풍이 절정에 이르는 시기를 택해 매년 10월 말 ~ 11월 초에 개최된다. 백암산은 내장산 국립공원에 속한다. 백양사는 백암산 동쪽에 있는 절로 백제 무왕 때 세워졌는데, 백양사라고 불린 이유는 조선 숙종 때 환양선사가 설법하던 도중 백양 한 마리가 내려와 설법을 듣고 신이 되어 하늘로 올라갔기 때문이라고 한다. 장성백양단풍축제는 가을의 절정에서 자연의 멋을 느낄 수 있는 축제이다.",자연축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/170/30224/17137/c/115_-2019-장성백양단풍축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/494,전라남도,장성군,전남 장성군 북이면 사거리 656-5,단풍숲 거리공연,"쌍계루, 일광정에서 통기타 공연부터 국악, 클래식, 팝페라, 버스킹, 포크 콘서트까지 다양한 장르의 공연이 열린다.",20230101,"백양사, 백암산, 단풍, 정토사",F,음식 & 다이닝/요리 매니아/셰프 지망생,31,27,20231230
20231200120,가을의 절정에서 단풍을 즐기는 장성백양단풍축제,"장성백양단풍축제는 전라남도 장성에 있는 백암산과 백양사의 아름다운 가을 단풍을 선보이는 축제다. 1996년부터 개최되었고, 단풍이 절정에 이르는 시기를 택해 매년 10월 말 ~ 11월 초에 개최된다. 백암산은 내장산 국립공원에 속한다. 백양사는 백암산 동쪽에 있는 절로 백제 무왕 때 세워졌는데, 백양사라고 불린 이유는 조선 숙종 때 환양선사가 설법하던 도중 백양 한 마리가 내려와 설법을 듣고 신이 되어 하늘로 올라갔기 때문이라고 한다. 장성백양단풍축제는 가을의 절정에서 자연의 멋을 느낄 수 있는 축제이다.",자연축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/170/30224/17137/c/115_-2019-장성백양단풍축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/494,전라남도,장성군,전남 장성군 북이면 사거리 656-5,단풍숲 거리공연,"쌍계루, 일광정에서 통기타 공연부터 국악, 클래식, 팝페라, 버스킹, 포크 콘서트까지 다양한 장르의 공연이 열린다.",20230101,"백양사, 백암산, 단풍, 정토사",F,미디어 & 엔터테인먼트/음악 애호가/월드 뮤직 팬,31,27,20231230
20231200121,박연을 기리는 영동난계국악축제,"대한민국의 3대 악성(樂聖)을 왕산악(고구려), 우륵(신라), 박연(조선)이라고 한다. 영동지역에서 펼쳐지는 국악축제인 ‘영동난계국악축제’는 3대 악성 가운데 박연을 기리는 전국유일의 국악축제다. 난계는 박연의 아호다. 1965년 시작할 때의 이름은 난계예술제로, 경연대회 정도의 성격이었다가 1975년 전국적인 축제로 발전한다. 난계국악축제라는 명칭으로의 변화는 1998년부터이다.",춤·음악 축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/215/30268/17183/c/166_-2019-영동난계국악축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/401,충청북도,영동군,충청북도 영동군 영동읍 중앙로 11,국악기 제작 및 연주 체험,"다양한 국악기를 직접 연주해보고 전통 방식의 대금, 장구, 북 등의 만들기를 누구나 직접 체험해 볼 수 있다.",20230101,"박연, 난계사, 국악",F,여행/여행 매니아,31,26,20231230
20231200122,우리나라의 대표적인 아리랑 '정선아리랑제',"정선은 아리랑의 대표적인 전승지이다. 정선아리랑제는 정선 아리랑의 문화적 가치를 전승하고자 1976년부터 시작되었다. 정선아리랑은 국내 아리랑 중 유일한 무형문화재이다. 정선에서는 이미 5천수 이상의 아리랑 가사가 채록되었고 지금도 끊임없이 창작, 전승되고 있다. 정선아리랑제에서는 어르신, 학생, 성인 등 다양한 사람들이 경창대회를 열고, 아리랑을 주제로한 인형극, 공연, 콘서트, 포럼이 열린다.",춤·음악 축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/73/30127/16061/c/026_2019정선아리랑제-thumb.jpg,https://ncms.nculture.org/local-festival/story/323,강원특별자치도,정선군,강원도 정선군 정선읍 봉양리 112,민속체험 &한복체험,정선의 대표문화인 짚풀공예와 삼찌기 시현을 보고 한복 대여 체험을 통해 축제를 더욱 재밌게 즐길 수 있다.,20230101,"정선, 아리랑, 아라리, 문화예술, 무형문화재, 소리문화",F,음식 & 다이닝/요리 매니아,31,20,20231230
20231200123,6만평 하늘공원에서 펼쳐지는 서울억새축제,"서울억새축제는2002년 쓰레기 매립장 난지도에서 월드컵 공원 환경생태공원으로 변화한 하늘공원에서 억새꽃이 피는10월에 개최되는 축제이다.난지도는 서울의 쓰레기 매립장이었으나 생태공원으로 조성되었고, 하늘공원을 만들 당시 전국 23개 도시의 억새를 가져다 심었다. 6만평 억새밭 사이로 난 23개의 길을 걸어보는 것도 좋은 경험이고, 밤에 억새밭에서 서울의 야경을 감상하는 것도 좋은 추억이 될 것이다.",자연축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/87/29766/14271/c/서울억새축제2019-10-18-20.03.57-thumb.jpg,https://ncms.nculture.org/local-festival/story/488,서울특별시,마포구,서울 마포구 상암동 481-72,가을 음악공연,7080 포크송 및 인디밴드 버스킹 등 다양한 라이브 공연이 중앙무대에서 펼쳐진다.,20230101,"억새, 난지도, 하늘공원, 월드컵 공원, 가을바람따라",F,뉴스 & 정치/열렬한 뉴스 독자/연예 뉴스 매니아,30,28,20231230
